model,corpus,fixture,expected_rule,rule,candidate,cosine
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a passport page,0.7204
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a driver's license or national ID card,0.6205
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a credit card or payment card,0.4432
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of an employee or visitor badge,0.4217
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a healthcare insurance card,0.4948
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a patient wristband or hospital identifier,0.3285
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a tax document or paystub with personal details,0.5940
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,identifier_document_imagery,photograph of a paper form filled in with personal information,0.5440
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of source code in an editor,0.2059
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,terminal or shell window screenshot,0.1419
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of a log file or stack trace,0.1645
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,git diff or pull-request review screenshot,0.1166
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of a debugger paused at a breakpoint,-0.0180
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,command-line build output or test runner output,-0.1028
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of an API response or HTTP request body,0.2554
llm-semantic-router/multi-modal-embed-small,A_PR1896,passport_sample.jpg,identifier_document_imagery,code_or_terminal_imagery,screenshot of a database client or SQL query result,0.2928
